texto,clase
"deberia mostrar mas bibliografia, ya que los alumnos se guian mucho por su libro",negativo
Se cumplio el objetivo,positivo
seca en todo,positivo
exelente profesora.,positivo
Que siga asi,positivo
docente es puntual,positivo
nada que decir,neutro
faltaban materiales al momento de trabajar,negativo
buen profesor,positivo
clases con mas contenido y mejor explicacion,negativo
Excelente profesor que maneja los contenidos y crea un ambiente apto para el aprendizaje.,positivo
muy didacticas sus clases,positivo
"Los power point para desarrollar la siguiente clase deberian ser subidos a la plataforma con mayor anterioridad,",negativo
"Docente debe ser clara al momento de dar a conocer los contenidos que seran evaluados, ya que la mayoria de las veces entrega informacion muy ambigua. Ademas debe entregar las calificaciones en el plazo correspondiente.",negativo
"El docente es nuevo en el area, pero nos dejo muchos vacio en la asignatura, QUE VUELVA LA PROFE ANGELICA PARADA, estamos pagando por un buen servicio, no por profesores que no tengan ganas de ensenar.",negativo
deberia llegar a la hora a clases,negativo
sin comentarios,neutro
"No me realizaba clases, pero escuche que era una excelente profesora",positivo
"Muy buena profesora, demuestra interes por sus alumnos",positivo
"Excelente profesor, comprensivo, dedicado a sus alumnos muy didactico",positivo
excelente disenador,positivo
"Es un docente entregado, didactico, con mucha paciencia  para integrar a todos en el proceso ensenanza aprendizaje, muy amable y puntual. Domina sus materias en la totalidad. Siempre disponible y atento a ayudar.",positivo
Que se lave los dientes,negativo
Muy buenas y entretenidas clases de deporte,positivo
Son muy buenos profes la verdad su conocimiento es muy amplio en la materia y muy carismaticos un 7 para los dos y es bueno ver profesores informaticos con caras nuevas,positivo
deberia ser mas puntual en la entrega de notas,negativo
eran clases didacticas pero a la vez un poco aburridas para los que ya sabian un poco sobre el tema,negativo
"entrega de notas en su debido plazo, en general muy buena profesora",positivo
Buen profesor,positivo
Muy buena profesional y profesora,positivo
Que como docente es una muy buena profesora,positivo
excelente profesora,positivo
maneja totalmente el contenido de la clase pero es muy poco didactico. no hace participar a los alumnos.,positivo
No tuvimos oportunidad de tener una apreciacion mejor de la profesora por su licencia medica.,negativo
Debe mejorar sus metodos de ensenanza,negativo
"Que cumpla con el horario establecido, ya que siempre llego atrasado a clases, y que sus preguntas a la hora de evaluar no sean tan extensas, ya que esas mismas preguntas que hace las puede resumir.",negativo
"No tenia conocimiento que ella estaba a cargo del curso,respecto al curso online deberian arreglar la plataforma, ya que a veces al revisar y terminar de ver el material,no marcaba los tic de 100% finalizado y no podia continuar con el siguiente tema.",negativo
"Una excelente profesora, amable y muy motivadora",positivo
BUEN PROFESOR,positivo
nada que sugerir,neutro
buen profe,positivo
"como profesional es muy buena, como docente falta de experiencia",negativo
Ojala prontamente pueda dictar una clase por cuenta propia. Es la mejor profesora joven de la escuela.,positivo
"Excelente docente, solo, considero que muchas veces mira en menos o deshecha las opiniones de los estudiantes, antes de analizarlas bien.",positivo
Siempre tiene tiempo para sus alumnos,positivo
Es un profesor que coloca todo su conocimiento a disposicion de sus estudiantes. Ensena muy bien.,positivo
nada bueno,negativo
Buen profe. 10/10,positivo
Se sugiere que suba a la platafoma mas material para constestar en adecca y mas dias para contestarlos.,negativo
Sin sugerencias,neutro
"DEBERiA HACER MaS ENTRETENIDAS SUS CLASES, MAYOR APOYO Y COMPRENSIoN",negativo
No hay sugerencias,neutro
Considero que es una profesora competente y capacitada para trabajar como supervisora de practica profesional en el area clinica.Profesora en quien se puede confiar y resguardar durante el proceso,positivo
Excelente recurso educativo,positivo
Entregas de notas dentro del plazo,positivo
muy buen ramo,positivo
"El profesor genera instancias para consultas y/o opiniones de alumnos, pero no permite al estidiante explicar su idea, las calificaciones no se entregan en la fecha, no entrega correcciones para la posterior retroalimentacion del estudiante",positivo
sus clases motivan demasiado y eso es bueno,positivo
Profesor muy dedicado y preocupado por realizar todo de la mejor manera,positivo
"No compresion con los estudiantes, debe hacer cambios de ensenaza, y analizar mas los trabajos a pedir debido a que coloca notas por debajo del 4 a todos los alumnos y eso  no es posible, y debe ser mas autocritica.",negativo
sin sugerencias,neutro
no tengo sugerencias,neutro
mala,negativo
"asisti practicamente al 100% de las clases, digo practicamente porque el profesor en ocaciones no asistia y sin aviso previo, demoro cerca de 2 meses en entregar notas del primer certamen entregandolas 30 minutos antes de que se rindiera el 2 certamen.",negativo
"Es muy dificil cominucarse con el fuera del horario de clases, no responde correos y cambia arbitrariamente fechas de evaluaciones o contenidos de trabajos.",negativo
"Buen profesor, emplea metodologia que favorece el aprendizaje de todos ya que da oportunidades a la integracion de contenido, emplea el uso de tecnicas que generan clases mas practicas favoreciendo la comprension.",positivo
"Excelente metodologia utilizada, facilita bastante el aprendizaje",positivo
buen profesor,positivo
"Metodico y excelente profesor, con vocacion.",positivo
ningun comentario,neutro
"Excelente profesor, dispuesto  a ayudar siempre",positivo
